cod_ponto;sist_hidrico;localizacao;data_inicio;data_fim;municipio;id_ponto;n_ugrhi;code_muni;name_muni
SAGU02100;Rio Sapucaí Guaçu;Estrada do Horto. Ponte de madeira a jusante da futura ETE de Campos de Jordão.;2001-09-07;2013-12-31;CAMPOS DO JORDAO;346;1;3509700;Campos Do Jordão
SAGU02050;Rio Sapucaí Guaçu;Ponte na Av. Emilio Lang Jr. com a Rua Engenheiro Prudente de Moraes, na saída para a estrada do horto florestal.;2014-01-01;NA;CAMPOS DO JORDAO;2291;1;3509700;Campos Do Jordão
SAGU02250;Rio Sapucaí Guaçu;Ponte na estrada de acesso ao Borboletário, A jusante da ETE de Campos do Jordão.;2014-01-01;NA;CAMPOS DO JORDAO;2293;1;3509700;Campos Do Jordão
PDIZ00700;Ribeirão das Perdizes;Na captação da SABESP do Jardim Alpestre, em Campos do Jordão.;2019-01-01;NA;CAMPOS DO JORDAO;3303;1;3509700;Campos Do Jordão
PRAT02400;Rio da Prata;NA PONTE DA ENTRADA DO COND. RESIDENCIAL SANTO ANTONIO, A JUSANTE DA ETE.;2008-07-01;NA;SANTO ANTONIO DO PINHAL;1619;1;3548203;Santo Antônio Do Pinhal
SAMI02200;Rio Sapucaí-Mirim;Ponte na estrada Municipal de São Bento do Sapucaí - Paiol Grande, junto a régua do IGAM.;2014-01-01;NA;SAO BENTO DO SAPUCAI;2297;1;3548609;São Bento Do Sapucaí
PARB02600;Rio Paraíba do Sul;Na captação de Aparecida;1974-10-01;NA;APARECIDA;222;2;3502507;Aparecida
PARB02400;Rio Paraíba do Sul;Ponte na rua do Porto, no trecho que liga Caçapava ao bairro Menino Jesus.;1979-01-01;NA;CACAPAVA;220;2;3508504;Caçapava
PQTE02800;Rio Piquete;Na ponte da divisa de Cachoeira Paulista com Cruzeiro, na  rodovia Deputado Nesralla Rubes, altura do km 213.;2015-01-01;NA;CACHOEIRA PAULISTA;2467;2;3508603;Cachoeira Paulista
PONT04950;Córrego do Pontilhão ou Barrinha;Na sua foz, na ponte junto a linha do trem, em Cruzeiro.;2015-01-01;NA;CRUZEIRO;2422;2;3513405;Cruzeiro
ALIM02950;Ribeirão da Água Limpa;Junto a sua foz, na passarela de pedestres na Avenida Jânio Quadros, na saída para Lavrinhas.;2015-01-01;NA;CRUZEIRO;2426;2;3513405;Cruzeiro
JACU02900;Rio Jacu;Ponte sobre o rio Jacu, na divisa de Cruzeiro e Lavrinhas, na Rodovia Júlio Fortes.;2015-01-01;NA;CRUZEIRO;2429;2;3513405;Cruzeiro
PARB02800;Rio Paraíba do Sul;Ponte Hamilton Galhano, na SP-52, à montante de Cruzeiro.;2019-01-01;NA;CRUZEIRO;2258;2;3513405;Cruzeiro
GUAT02800;Rio Guaratingueta;NA CAPTAÇÃO DE GUARATINGUETA (SAEG), EM FRENTE A ETA.;2010-01-01;NA;GUARATINGUETA;1823;2;3518404;Guaratinguetá
JAGJ00400;Reservatório do Jaguari - UGRHI 02;Ponte na rodovia D. Pedro I (SP-65), no município de Igaratá.;1992-01-01;2000-12-31;IGARATA;214;2;3520202;Igaratá
PARB02200;Rio Paraíba do Sul;Junto à captação do município de Jacareí;1999-10-01;NA;JACAREI;322;2;3524402;Jacareí
PTEI02900;Rio Paratei;Ponte na estrada de acesso ao Res. Jaguari, próximo à cervejaria Brahma, em Jacareí.;2000-03-01;NA;JACAREI;330;2;3524402;Jacareí
SANT00100;Reservatório Santa Branca;No meio do corpo central, na junção dos braços Capivari e Paraibuna.;2001-09-26;NA;JAMBEIRO;347;2;3524907;Jambeiro
PARB02700;Rio Paraíba do Sul;Ponte na rodovia BR-459, no trecho que liga Lorena a Piquete.;1995-09-01;NA;LORENA;223;2;3527207;Lorena
PUNA00800;Rio Paraibuna;Ponte no bairro das Palmeiras, a montante da régua da CESP.;2012-01-01;NA;NATIVIDADE DA SERRA;2197;2;3532306;Natividade Da Serra
IUNA00950;Braço do Rio Paraibuna;NA JUNÇÃO DOS BRAÇOS DO RIO PARAIBUNA E DOS RIOS DA SERRA;2008-10-01;NA;PARAIBUNA;1668;2;3535606;Paraibuna
INGA00850;Braço do Rio Paraitinga;PRÓXIMO A ÁREA DE LAZER DA CESP;2008-08-01;NA;PARAIBUNA;1669;2;3535606;Paraibuna
UAMA00600;Rio Piracuama;No Balneário de Piracuama - Reino das Águas Claras;2019-01-01;NA;PINDAMONHANGABA;3307;2;3538006;Pindamonhangaba
UAMA00550;Rio Piracuama;Ponte sobre o rio Piracuama ao lado da Estação Centenário da Estrada de Ferro.;2015-11-23;2018-12-31;PINDAMONHANGABA;2558;2;3538006;Pindamonhangaba
PARB02530;Rio Paraíba do Sul;Na captação da SABESP de Pindamonhangaba;2004-01-01;NA;PINDAMONHANGABA;736;2;3538006;Pindamonhangaba
PARB02900;Rio Paraíba do Sul;Ponte na cidade de Queluz.;1974-10-01;NA;QUELUZ;224;2;3541901;Queluz
PARB02100;Rio Paraíba do Sul;Ponte na rodovia SP-77, no trecho que liga Jacareí a Santa Branca.;1979-01-01;NA;SANTA BRANCA;218;2;3546009;Santa Branca
PARB02050;Rio Paraíba do Sul;Na captação de  Santa Branca (SAEE),  no bairro Angola de Cima.;2004-01-01;NA;SANTA BRANCA;730;2;3546009;Santa Branca
JAGI00350;Rio Jaguari - UGRHI 02;Na régua da CESP, à montante da Cachoeira do Jaguaribe.;2012-01-01;NA;SANTA ISABEL;2193;2;3546801;Santa Isabel
JAGJ00200;Reservatório do Jaguari - UGRHI 02;Ponte na rodovia  SP 056  que liga Santa Isabel a Igaratá, no município de Santa Isabel.;1996-01-01;NA;SANTA ISABEL;213;2;3546801;Santa Isabel
JAGJ00900;Reservatório do Jaguari - UGRHI 02;NA TOMADA DÁGUA DO RESERVATÓRIO JAGUARI.;2008-08-01;NA;SÃO JOSÉ DOS CAMPOS;1670;2;3549904;São José Dos Campos
BUKI02950;Rio Buquira;Ponte na rua Alziro Lebrão, no bairro Alto da Ponte.;2016-01-01;NA;SÃO JOSÉ DOS CAMPOS;2520;2;3549904;São José Dos Campos
PARB02310;Rio Paraíba do Sul;Na captação de São José dos Campos.;2001-01-01;NA;SÃO JOSÉ DOS CAMPOS;379;2;3549904;São José Dos Campos
JAGI02700;Rio Jaguari - UGRHI 02;Ponte na estrada de acesso à indústria Petybon, no município de São José dos Campos.;1995-09-01;2000-12-31;SÃO JOSÉ DOS CAMPOS;215;2;3549904;São José Dos Campos
JAGI02900;Rio Jaguari - UGRHI 02;Próximo à foz no Rio Paraíba do Sul, no município de São José dos Campos.;1995-12-07;NA;SÃO JOSÉ DOS CAMPOS;217;2;3549904;São José Dos Campos
PARB02300;Rio Paraíba do Sul;Ponte de acesso ao loteamento Urbanova, em São José dos Campos.;1983-09-01;NA;SÃO JOSÉ DOS CAMPOS;219;2;3549904;São José Dos Campos
VIDK04900;Córrego do Vidoca;Na ponte da Travessa Lineu de Moura, próxima da foz com o Rio Paraíba do Sul.;2018-01-01;NA;SÃO JOSÉ DOS CAMPOS;2655;2;3549904;São José Dos Campos
PTIN00850;Rio Paraitinga;Na régua da CESP do Rio Paraitinga, 2 km a montante do centro da cidade S. L. Paraitinga.;2012-01-01;NA;SAO LUIS DO PARAITINGA;2198;2;3550001;São Luís Do Paraitinga
UNNA02800;Rio Una - UGRHI 02;Na captação da SABESP de Taubaté.;2005-01-01;NA;TAUBATE;796;2;3554102;Taubaté
PARB02490;Rio Paraíba do Sul;Na captação da SABESP em Tremembé, que abastece Taubaté.;1995-09-01;NA;TREMEMBÉ;221;2;3554805;Tremembé
CARO02800;Rio Claro - UGRHI 03;Na captação da SABESP do Baixo Claro.;2000-09-28;NA;CARAGUATATUBA;350;3;3510500;Caraguatatuba
TABA02900;Rio Tabatinga;Praia de Tabatinga. Ponte de madeira no final da Rua 18;2009-01-01;NA;CARAGUATATUBA;1786;3;3510500;Caraguatatuba
COCA02900;Rio Cocanha;Ponte no final da Av. Maria Carlota, na praia de Massaguaçu, junto a foz do Cór. Bacuí.;2004-01-01;NA;CARAGUATATUBA;817;3;3510500;Caraguatatuba
GUAX02950;Rio Guaxinduba;Praia Martim de Sá, Av. Casa Branca a jusante do lançamento da SABESP, Ponte sobre o Rio.;2004-01-01;NA;CARAGUATATUBA;818;3;3510500;Caraguatatuba
SATO02900;Rio Santo Antonio;Entre praia da Cidade e Frecheiras, Avenida Rio de Janeiro, a montante da Av. da Praia;2004-01-01;NA;CARAGUATATUBA;819;3;3510500;Caraguatatuba
RGOA02900;Rio Lagoa;Praia de Aruã, ponte sobre o rio na avenida Beira-Mar;2004-01-01;NA;CARAGUATATUBA;820;3;3510500;Caraguatatuba
RIJU02900;Rio Juqueriquerê;No pier do Condomínio Marina New Port.;2004-01-01;NA;CARAGUATATUBA;821;3;3510500;Caraguatatuba
MOCO02900;Rio Mocooca;Ponte na Rod. Manoel Hyppolito Rego, altura da  praia da Mocooca.;2013-05-15;NA;CARAGUATATUBA;2275;3;3510500;Caraguatatuba
NSRA02900;Rio Nossa Senhora da Ajuda;Junto a vila principal, ponte sobre o rio a 2 quarteirões da antiga cadeia;2004-01-01;NA;ILHABELA;828;3;3520400;Ilhabela
ABRA02950;Ribeirão Água Branca;Ponte na Av. Princesa Isabel, ao lado do Forum de Ilhabela;2004-01-01;NA;ILHABELA;829;3;3520400;Ilhabela
QLOM02950;Rio Quilombo;Av. Princesa Isabel ponte sobre o rio;2004-01-01;NA;ILHABELA;830;3;3520400;Ilhabela
TOCA02900;Córrego das Tocas;Ponte sobre o córrego da Toca na Rua Coronel Jose Vicente de Faria Lima, no Bairro Costa Bela, Praia de Barra Velha, em Ilhabela.;2003-01-01;NA;ILHABELA;582;3;3520400;Ilhabela
PUBA02950;Rio Paúba;Dentro da propriedade Tranesco;2004-01-01;2008-12-31;SÃO SEBASTIAO;822;3;3550704;São Sebastião
MARE02900;Rio Maresias;Ponte na Rodovia SP-55, Km 153, sobre o rio Maresias;2004-01-01;NA;SÃO SEBASTIAO;823;3;3550704;São Sebastião
BOIC02950;Rio Boiçucanga;PRAIA DE BOIÇUCANGA, SOBRE A PONTE DA AV. WALQUIR VERGANI ( SP O55 );2004-01-01;NA;SÃO SEBASTIAO;824;3;3550704;São Sebastião
BURI02950;Rio Camburi;Estrada do Cambury, na ponte sobre o rio Cambury;2004-01-01;NA;SÃO SEBASTIAO;825;3;3550704;São Sebastião
SAHI02950;Rio Saí;Ponte de madeira sobre o rio Sahy, na área urbana;2004-01-01;NA;SÃO SEBASTIAO;826;3;3550704;São Sebastião
RUNA02950;Rio Una - UGRHI 03;Atrás do cemitério, próxima a capela Nossa Senhora do Carmo;2004-01-01;NA;SÃO SEBASTIAO;827;3;3550704;São Sebastião
BALD02700;Vala de Escoamento à direita na Praia da Baleia;Vala de escoamento do lado direito do aterro sanitário,(de frente para o aterro)  na praia da Baleia;2007-01-01;NA;SÃO SEBASTIAO;1369;3;3550704;São Sebastião
BALE02700;Vala de Escoamento à esquerda na Praia da Baleia;Vala de escoamento do lado esquerdo do aterro sanitário,(de frente para o aterro)  na praia da Baleia;2007-01-01;NA;SÃO SEBASTIAO;1370;3;3550704;São Sebastião
SAFO00300;Rio São Francisco;Na captação da SABESP de São Sebastião - Bairro São Francisco.;2000-09-28;NA;SÃO SEBASTIAO;349;3;3550704;São Sebastião
BALD02600;Vala de Escoamento à direita na Praia da Baleia;Vala de escoamento do lado direito do aterro sanitário (olhando-se de frente para o aterro) na praia da Baleia.;2003-01-01;2007-05-01;SÃO SEBASTIAO;585;3;3550704;São Sebastião
BALE02600;Vala de Escoamento à esquerda na Praia da Baleia;Vala de escoamento do lado esquerdo do aterro sanitário,(de frente para o aterro)  na praia da Baleia;2003-01-01;2007-05-01;SÃO SEBASTIAO;586;3;3550704;São Sebastião
DAIA02900;Rio Indaiá;Na ponte sobre a Rodovia Rio Santos BR 101;2005-01-01;NA;UBATUBA;804;3;3555406;Ubatuba
ITAM02950;Rio Itamambuca;Próximo ao Condomínio Itamambuca;2004-01-01;NA;UBATUBA;808;3;3555406;Ubatuba
GRAN02900;Rio Grande - UGRHI 03;Praia Iperoig, sobre passarela de pedestres no mercado de peixes, jusante posto de gasolina;2004-01-01;NA;UBATUBA;810;3;3555406;Ubatuba
TAVE02950;Rio Lagoa ou Tavares;"Entre praias de Iperoig e Itaguá Rua Rio Grande do Sul; 2ª ponte a montante da praia sobre o rio";2004-01-01;NA;UBATUBA;811;3;3555406;Ubatuba
ARAU02950;Rio Acaraú;Praia de Itaguá,Rua Basílio de Moraes Cavalheiro, ponte sobre o rio.;2004-01-01;NA;UBATUBA;812;3;3555406;Ubatuba
PEMI02900;Rio Perequê-Mirim;Praia Perequê Mirim, Rodovia Rio - Santos (SP55), ponte sobre o rio;2004-01-01;NA;UBATUBA;813;3;3555406;Ubatuba
CURO02900;Rio Escuro;Rodovia Rio - Santos, ponte sobre o rio na Praia Dura.;2004-01-01;NA;UBATUBA;814;3;3555406;Ubatuba
GOIN02900;Rio Lagoinha;Ponte na Rodovia Manuel Hyppolito  Rego (SP-55).;2004-01-01;NA;UBATUBA;815;3;3555406;Ubatuba
DUBA02900;Rio Maranduba;Rodovia Rio-Santos (SP55), ponte sobre o rio;2004-01-01;NA;UBATUBA;816;3;3555406;Ubatuba
